FID,num,uni_num,序号,学校名,学校标,主管部,所在地,办学层,备注,campusName,uid,area,lngN,latN,面积
0,2668,975,2137,海南热带海洋学院,4146011100.000000000000000,海南省,三亚市,本科,公办,海南热带海洋学院,dcf78353965ab0259a005049,吉阳区,109.530290300000004,18.312079059999999,39.4972992
1,2680,980,2142,三亚学院,4146013892.000000000000000,海南省教育厅,三亚市,本科,民办,三亚学院(北校区),88d672dcc14c33c995f08ca1,吉阳区,109.555490399999996,18.338578779999999,110.4359970
2,2667,974,2136,海南大学,4146010589.000000000000000,海南省,海口市,本科,公办,海南大学(观澜湖校区),ee1714739e75c24f047ce8d2,龙华区,110.332358400000004,19.923071910000001,49.5545006
3,2674,978,2140,海口经济学院,4146012308.000000000000000,海南省教育厅,海口市,本科,民办,海口经济学院,f81bb8f97ebe13c41b94c6a3,美兰区,110.484295799999998,19.966342480000002,87.2870026
4,2676,979,2141,琼台师范学院,4146013811.000000000000000,海南省,海口市,本科,公办,琼台师范学院(桂林洋校区),558afb5a781acf33210262a1,美兰区,110.512487600000000,19.976533289999999,68.8327026
5,2671,977,2139,海南医学院,4146011810.000000000000000,海南省,海口市,本科,公办,海南医学院(城西校区),8fa14fc3f165db6ef7eafc61,龙华区,110.329706700000003,19.984170010000000,31.0489998
6,2670,976,2138,海南师范大学,4146011658.000000000000000,海南省,海口市,本科,公办,海南师范大学(桂林洋校区),2ff04c304bd5a7c931870a8b,美兰区,110.510896000000002,19.984518540000000,93.7254028
7,2665,974,2136,海南大学,4146010589.000000000000000,海南省,海口市,本科,公办,海南大学(海甸校区),5c940559b6d54398d5b74efd,美兰区,110.324616899999995,20.058907130000001,132.2579956
8,2404,874,1896,广东海洋大学,4144010566.000000000000000,广东省,湛江市,本科,公办,广东海洋大学,15e1e85e462ad4a159109391,麻章区,110.296391999999997,21.153698580000000,139.7500000
9,2518,913,1935,湛江科技学院,4144012622.000000000000000,广东省教育厅,湛江市,本科,民办,湛江科技学院(新湖校区),efbf89f8d79dc57bcac3db63,麻章区,110.239887400000001,21.167268390000000,82.0418015
10,2433,883,1905,岭南师范学院,4144010579.000000000000000,广东省,湛江市,本科,公办,岭南师范学院(寸金校区),4b88f6f7a934f87d3617dc58,赤坎区,110.342355100000006,21.271980830000000,63.1996002
11,2486,900,1922,广东石油化工学院,4144011656.000000000000000,广东省,茂名市,本科,公办,广东石油化工学院,42679a8690141f062ab97c79,茂南区,110.918252899999999,21.682016800000000,30.7646008
12,2635,956,2071,北部湾大学,4145011607.000000000000000,广西壮族自治区,钦州市,本科,公办,北部湾大学,5c78e851c4dcb68e843304b4,钦南区,108.612340700000004,21.900884640000001,118.1200027
13,2532,921,1943,珠海科技学院,4144013684.000000000000000,广东省教育厅,珠海市,本科,民办,珠海科技学院,11aa09c5e3aa76f4f03cba38,金湾区,113.399750699999998,22.053023169999999,182.7449951
14,2530,920,1942,北京理工大学珠海学院,4144013675.000000000000000,广东省教育厅,珠海市,本科,民办,北京理工大学珠海学院,0e40ef3a52f36380bbbd6398,香洲区,113.535698199999999,22.367509550000001,200.5240021
15,2660,972,2087,广西城市职业大学,4145013920.000000000000000,广西壮族自治区教育厅,崇左市,本科,民办,广西城市职业大学(崇左校区),e77e0093dadaf3950aa8d409,江州区,107.391779799999995,22.369671250000000,69.5288010
16,2603,946,2061,广西民族师范学院,4145010604.000000000000000,广西壮族自治区,崇左市,本科,公办,广西民族师范学院,cad4e263cf597844d8d89132,江州区,107.391600400000002,22.385583730000000,69.5326996
17,2484,899,1921,电子科技大学中山学院,4144011545.000000000000000,广东省教育厅,中山市,本科,民办,电子科技大学中山学院,4cbbf2cb5dac54a1c26c143e, ,113.385054600000004,22.530082470000000,39.3858986
18,2455,890,1912,深圳大学,4144010590.000000000000000,广东省,深圳市,本科,公办,深圳大学(粤海校区),410fd097f30195a083a00c3f,南山区,113.931206799999998,22.535245230000001,140.4160004
19,2661,972,2087,广西城市职业大学,4145013920.000000000000000,广西壮族自治区教育厅,崇左市,本科,民办,广西城市职业大学(空港校区),d0022d9a536965367ab55c56,扶绥县,107.920057499999999,22.591073219999998,33.2846985
20,2475,897,1919,五邑大学,4144011349.000000000000000,广东省,江门市,本科,公办,五邑大学,61c819c4463eef77c03644d3,蓬江区,113.079286100000004,22.600453989999998,56.4491005
21,2456,890,1912,深圳大学,4144010590.000000000000000,广东省,深圳市,本科,公办,深圳大学(丽湖校区),3bb662cc6d6515c0fda77821,南山区,113.988116500000004,22.599351020000000,59.2267990
22,2556,930,1952,南方科技大学,4144014325.000000000000000,广东省,深圳市,本科,公办,南方科技大学,72b66886812878a6a11de9b0,南山区,113.994478400000006,22.600476550000000,113.7139969
23,2609,948,2063,玉林师范学院,4145010606.000000000000000,广西壮族自治区,玉林市,本科,公办,玉林师范学院(东校区),41572e002efda3b7b55f1ebd,玉州区,110.191601599999998,22.681126370000001,94.5345993
24,2633,955,2070,南宁学院,4145011549.000000000000000,广西壮族自治区教育厅,南宁市,本科,民办,南宁学院,8e3949ba741582c8ebe5821a,邕宁区,108.449097699999996,22.752605760000002,62.8773994
25,2582,940,2055,广西医科大学,4145010598.000000000000000,广西壮族自治区,南宁市,本科,公办,广西医科大学,5c2dc21d47f1be076ec02c89,青秀区,108.346823499999999,22.799892839999998,38.6785011
26,2588,942,2057,广西中医药大学,4145010600.000000000000000,广西壮族自治区,南宁市,本科,公办,广西中医药大学(仙葫校区),65db9558d53604f0a3acc4b0,青秀区,108.500011599999993,22.802141299999999,44.7929993
27,2658,970,2085,广西外国语学院,4145013830.000000000000000,广西壮族自治区教育厅,南宁市,本科,民办,广西外国语学院,2f27f5321f6e9215f6c59c8f,青秀区,108.512159699999998,22.803215850000001,41.6086998
28,2599,945,2060,南宁师范大学,4145010603.000000000000000,广西壮族自治区,南宁市,本科,公办,南宁师范大学(五合校区),eff69be0e555cd6b4f3a5996,青秀区,108.522565999999998,22.808259880000001,54.7776985
29,2631,954,2069,广西财经学院,4145011548.000000000000000,广西壮族自治区,南宁市,本科,公办,广西财经学院(相思湖校区),410042ed6dcfaf0f5e0d023d,西乡塘区,108.177846000000002,22.830111639999998,37.9738998
30,2614,950,2065,广西民族大学,4145010608.000000000000000,广西壮族自治区,南宁市,本科,公办,广西民族大学(思源湖校区),e965845f7fa63f8696ca0738,西乡塘区,108.192988900000003,22.839093909999999,58.5704994
31,2613,950,2065,广西民族大学,4145010608.000000000000000,广西壮族自治区,南宁市,本科,公办,广西民族大学(相思湖校区),5e695551fd64f1f21ce999ac,西乡塘区,108.231681399999999,22.846132170000001,68.3164978
32,2564,936,2051,广西大学,4145010593.000000000000000,广西壮族自治区,南宁市,本科,公办,广西大学,f60dec992072eea9a7c75661,西乡塘区,108.287150400000002,22.845717680000000,272.2130127
33,2611,949,2064,广西艺术学院,4145010607.000000000000000,广西壮族自治区,南宁市,本科,公办,广西艺术学院(相思湖校区),5edc2d99e9812d4e6b49f308,西乡塘区,108.218943300000007,22.859442860000001,33.1110001
34,2488,901,1923,东莞理工学院,4144011819.000000000000000,广东省,东莞市,本科,公办,东莞理工学院(松山湖校区),17365033c5c497c6b320a8a4, ,113.869529099999994,22.905833680000001,117.3590012
35,2551,927,1949,东莞城市学院,4144013844.000000000000000,广东省教育厅,东莞市,本科,民办,东莞城市学院,f0ac864032aba0e7a4c756c4, ,113.835718600000007,22.981528930000000,55.5568008
36,2541,925,1947,广东理工学院,4144013720.000000000000000,广东省教育厅,肇庆市,本科,民办,广东理工学院(高要校区),85e90f33b05937f5725e8039,高要区,112.479484200000002,23.008829420000001,51.6321983
37,2398,872,1894,华南理工大学,4144010561.000000000000000,教育部,广州市,本科,公办,华南理工大学(广州国际校区),f50c1929d8ff4e60b23c81f8,番禺区,113.400039599999999,23.014193310000000,99.5271988
38,2385,870,1892,暨南大学,4144010559.000000000000000,中央统战部,广州市,本科,公办,暨南大学(番禺校区),3c80992fe721927e4c6d46d8,番禺区,113.409987400000006,23.020565779999998,67.7789993
39,2503,904,1926,佛山科学技术学院,4144011847.000000000000000,广东省,佛山市,本科,公办,佛山科学技术学院(江湾校区),e99c8acc728fbb8f593ac821,禅城区,113.092348799999996,23.027020279999999,35.6502991
40,2491,902,1924,广东工业大学,4144011845.000000000000000,广东省,广州市,本科,公办,广东工业大学(大学城校区),f879e42a98efd3e628b97c60,番禺区,113.387646500000002,23.041922050000000,102.4789963
41,2425,881,1903,惠州学院,4144010577.000000000000000,广东省,惠州市,本科,公办,惠州学院,4791af4aafb023b541d63efb,惠城区,114.413401399999998,23.041595370000000,52.5782013
42,2411,875,1897,广州医科大学,4144010570.000000000000000,广东省,广州市,本科,公办,广州医科大学(番禺校区),b500250d3ec43722b24c49df,番禺区,113.420317400000002,23.046928940000001,32.3148003
43,2463,893,1915,广州大学,4144011078.000000000000000,广东省,广州市,本科,公办,广州大学,34e9c19149b09d3e9e82eac6,番禺区,113.365381499999998,23.043366469999999,79.3918991
44,2397,872,1894,华南理工大学,4144010561.000000000000000,教育部,广州市,本科,公办,华南理工大学(大学城校区),3d6c50d58b5e55b871455bca,番禺区,113.400005800000002,23.051103659999999,104.6819992
45,2416,878,1900,广东药科大学,4144010573.000000000000000,广东省,广州市,本科,公办,广东药科大学(大学城校区),f0585b849ea32ef73010afe6,番禺区,113.406252699999996,23.058271980000001,33.4595985
46,2420,879,1901,华南师范大学,4144010574.000000000000000,广东省,广州市,本科,公办,华南师范大学(广州校区大学城校园),8e9c038f20a1f29cc17da244,番禺区,113.374599399999994,23.055134920000000,60.8193016
47,2413,877,1899,广州中医药大学,4144010572.000000000000000,广东省,广州市,本科,公办,广州中医药大学(大学城校区),103cd2bcf5431ea6e115f9c5,番禺区,113.398526500000003,23.060317030000000,42.5483017
48,2538,924,1946,广东科技学院,4144013719.000000000000000,广东省教育厅,东莞市,本科,民办,广东科技学院(松山湖校区),2ec3a4d1853ab36b8d772732, ,113.971502900000004,23.066180200000002,62.8922997
49,2500,903,1925,广东外语外贸大学,4144011846.000000000000000,广东省,广州市,本科,公办,广东外语外贸大学(南校区),764672e5da333cd394ec84fb,番禺区,113.392004600000007,23.066437390000001,46.7453995
50,2380,869,1891,中山大学,4144010558.000000000000000,教育部,广州市,本科,公办,中山大学(广州校区东校园),af1ae56beee7d8114307c19e,番禺区,113.384682600000005,23.068515909999999,79.6737976
51,2458,891,1913,广东财经大学,4144010592.000000000000000,广东省,广州市,本科,公办,广东财经大学(广州校区),bd83996bb4665494badf8f68,海珠区,113.348843400000007,23.093496290000001,39.6445999
52,2549,926,1948,广东工商职业技术大学,4144013721.000000000000000,广东省教育厅,肇庆市,本科,民办,广东工商职业技术大学(星湖校区),673d794fa78fdddbcae33c2c,端州区,112.473333699999998,23.098808999999999,59.0023994
53,2379,869,1891,中山大学,4144010558.000000000000000,教育部,广州市,本科,公办,中山大学(广州校区南校园),29da5a5c5df245c81b94c69c,海珠区,113.293039399999998,23.099379240000001,92.2796021
54,2466,894,1916,广州航海学院,4144011106.000000000000000,广东省,广州市,本科,公办,广州航海学院(黄埔校区),586f95666b4b9d8bf11937ed,黄埔区,113.473046800000006,23.102887910000000,30.4967995
55,2437,884,1906,肇庆学院,4144010580.000000000000000,广东省,肇庆市,本科,公办,肇庆学院,9081e8a0c5941235a5da3911,端州区,112.489840599999994,23.109796530000001,66.6791000
56,2383,870,1892,暨南大学,4144010559.000000000000000,中央统战部,广州市,本科,公办,暨南大学(石牌校区),ddc8fe7205e884a7b6f42ffd,天河区,113.342506599999993,23.133702370000002,65.5056992
57,2419,879,1901,华南师范大学,4144010574.000000000000000,广东省,广州市,本科,公办,华南师范大学(广州校区石牌校园),c4172f484899a04aab059d15,天河区,113.345843599999995,23.141374070000001,77.9429016
58,2542,925,1947,广东理工学院,4144013720.000000000000000,广东省教育厅,肇庆市,本科,民办,广东理工学院(鼎湖校区),16d168c4a6ecf1474bcc4acd,鼎湖区,112.539585900000006,23.143467990000001,31.2257004
59,2504,904,1926,佛山科学技术学院,4144011847.000000000000000,广东省,佛山市,本科,公办,佛山科学技术学院(仙溪校区),c384557c73da8b82badf8ffc,南海区,113.048335600000001,23.142891349999999,87.7067032
60,2445,886,1908,广州体育学院,4144010585.000000000000000,广东省,广州市,本科,公办,广州体育学院,e17e9373ee904eb725d2bb8a,天河区,113.313538899999998,23.146197059999999,31.9029999
61,2400,873,1895,华南农业大学,4144010564.000000000000000,广东省,广州市,本科,公办,华南农业大学,657646b42fcae0b1ca09f057,天河区,113.349263100000002,23.160812660000001,283.6480103
62,2396,872,1894,华南理工大学,4144010561.000000000000000,教育部,广州市,本科,公办,华南理工大学(五山校区),a45f647e846847649a0050da,天河区,113.339539599999995,23.157950929999998,172.8990021
63,2583,940,2055,广西医科大学,4145010598.000000000000000,广西壮族自治区,南宁市,本科,公办,广西医科大学(武鸣校区),8ea501d7a388ad165fd4fe01,武鸣区,108.242006599999996,23.169459570000001,62.9006004
64,2598,945,2060,南宁师范大学,4145010603.000000000000000,广西壮族自治区,南宁市,本科,公办,南宁师范大学(武鸣校区),0e08edb345df108a16764359,武鸣区,108.286934099999996,23.181344950000000,83.0892029
65,2632,954,2069,广西财经学院,4145011548.000000000000000,广西壮族自治区,南宁市,本科,公办,广西财经学院(武鸣校区),2109494f81c9bb571811d57e,武鸣区,108.241738900000001,23.181157870000000,124.7979965
66,2509,906,1928,南方医科大学,4144012121.000000000000000,广东省,广州市,本科,公办,南方医科大学,d4c17c139ebcb8240d3dda2d,白云区,113.329230999999993,23.190175350000001,32.4520988
67,2615,950,2065,广西民族大学,4145010608.000000000000000,广西壮族自治区,南宁市,本科,公办,广西民族大学(武鸣校区),7b1a93fa3f6f77c304fef520,武鸣区,108.139263400000004,23.190798470000001,59.7300987
68,2499,903,1925,广东外语外贸大学,4144011846.000000000000000,广东省,广州市,本科,公办,广东外语外贸大学(北校区),4d232a6d6f257eedce06a436,白云区,113.286559699999998,23.202958280000001,65.3150024
69,2481,898,1920,广东金融学院,4144011540.000000000000000,广东省,广州市,本科,公办,广东金融学院(广州校区),97f9928ee762a485b9df8fba,天河区,113.375071199999994,23.203501939999999,46.1232986
70,2459,891,1913,广东财经大学,4144010592.000000000000000,广东省,广州市,本科,公办,广东财经大学华商学校,ddbebd9663e30f38ee74f83a,增城区,113.773219400000002,23.258132249999999,78.8233032
71,2527,918,1940,广州应用科技学院,4144013657.000000000000000,广东省教育厅,广州市,本科,民办,广州应用科技学院,53f9b4d635a5385e4054d743,增城区,113.720828800000007,23.279757210000000,35.7792015
72,2451,889,1911,广东技术师范大学,4144010588.000000000000000,广东省,广州市,本科,公办,广东技术师范大学(白云校区),3a52ee5ec550c53400ec01e6,白云区,113.209795299999996,23.283113740000001,64.6424026
73,2528,919,1941,广州商学院,4144013667.000000000000000,广东省教育厅,广州市,本科,民办,广州商学院,3355e9c0845d2cce8533042c,黄埔区,113.563709000000003,23.306334920000001,38.1278992
74,2517,911,1933,广东外语外贸大学南国商学院,4144012620.000000000000000,广东省教育厅,广州市,本科,民办,广东外语外贸大学南国商学院,38d9317f15f707e70f0a706b,白云区,113.378368399999999,23.341057950000000,30.4284992
75,3025,1102,2447,红河学院,4153010687.000000000000000,云南省,红河哈尼族彝族自治州,本科,公办,红河学院,6cb18f53679080b93a04b134,蒙自市,103.421312000000000,23.352460010000001,79.3377991
76,2472,896,1918,仲恺农业工程学院,4144011347.000000000000000,广东省,广州市,本科,公办,仲恺农业工程学院(白云校区),c3bcaa2808f9848c2fb96d25,白云区,113.439515400000005,23.376026920000001,89.8407974
77,2561,935,1957,广东以色列理工学院,4144016410.000000000000000,广东省,汕头市,本科,中外合作办学,广东以色列理工学院(南校区),71e740479910922514948eb5,金平区,116.630378500000006,23.404945770000001,36.5509987
78,2536,923,1945,广州科技职业技术大学,4144013717.000000000000000,广东省教育厅,广州市,本科,民办,广州科技职业技术大学,37d60a46169f8f1d1e1d110f,白云区,113.458707799999999,23.405371649999999,55.9049988
79,2460,892,1914,广东白云学院,4144010822.000000000000000,广东省教育厅,广州市,本科,民办,广东白云学院(北校区),a914a9814c7100fd8bb988c8,白云区,113.475898599999994,23.410505090000001,34.6558990
80,2506,905,1927,广东培正学院,4144012059.000000000000000,广东省教育厅,广州市,本科,民办,广东培正学院,5ff330080356445e32f71d75,花都区,113.084684499999995,23.412195270000002,48.0537987
81,2389,871,1893,汕头大学,4144010560.000000000000000,广东省,汕头市,本科,公办,汕头大学(桑浦山校区),581a01ab9390d2dc2e473314,金平区,116.628951799999996,23.415366079999998,90.0137024
82,2514,908,1930,广州城市理工学院,4144012617.000000000000000,广东省教育厅,广州市,本科,民办,广州城市理工学院,309ca2c6ef4cfd139cec2b0c,花都区,113.167134099999998,23.436970429999999,57.3101997
83,2623,952,2067,梧州学院,4145011354.000000000000000,广西壮族自治区,梧州市,本科,公办,梧州学院,d6df91c14337e16bf7b9163f,万秀区,111.311142200000006,23.500610729999998,36.5806007
84,2525,914,1936,华南农业大学珠江学院,4144012623.000000000000000,广东省教育厅,广州市,本科,民办,华南农业大学珠江学院,3f9337d68b8713b3f7231023,从化区,113.576004600000005,23.515059640000000,30.1399002
85,2382,869,1891,中山大学,4144010558.000000000000000,教育部,广州市,本科,公办,中山大学南方学院,72e57fd77c060dacf9dc858b,从化区,113.674048099999993,23.635212610000000,64.6744003
86,2432,882,1904,韩山师范学院,4144010578.000000000000000,广东省,潮州市,本科,公办,韩山师范学院,9132c4202b3bfdbb4e776ee6,湘桥区,116.661911000000003,23.657926069999998,53.3146019
87,2627,953,2068,广西科技师范学院,4145011546.000000000000000,广西壮族自治区,来宾市,本科,公办,广西科技师范学院,fa216c990513b832e8e5826f,兴宾区,109.206780100000003,23.775835969999999,68.8581009
88,2619,951,2066,百色学院,4145010609.000000000000000,广西壮族自治区,百色市,本科,公办,百色学院(澄碧校区),6a4ea062b337ceee40afe6cb,右江区,106.645759499999997,23.924370369999998,52.0914993
89,2569,937,2052,广西科技大学,4145010594.000000000000000,广西壮族自治区,柳州市,本科,公办,广西科技大学(柳石校区),d1469ee77f8f1e63843304e8,鱼峰区,109.438645500000007,24.245567330000000,32.8956985
90,2441,885,1907,嘉应学院,4144010582.000000000000000,广东省,梅州市,本科,公办,嘉应学院(江北校区),cde9e2c75ecae2b7e91e97b0,梅江区,116.124087000000003,24.331086429999999,50.1148987
91,2568,937,2052,广西科技大学,4145010594.000000000000000,广西壮族自治区,柳州市,本科,公办,广西科技大学(文昌校区),8fe7ea46c759c0f23ce23125,城中区,109.442329200000003,24.332441870000000,72.2554016
92,3040,1106,2451,玉溪师范学院,4153011390.000000000000000,云南省,玉溪市,本科,公办,玉溪师范学院,4bb049d9a23045469800509b,红塔区,102.562344899999999,24.342431030000000,62.5248985
93,2646,963,2078,柳州工学院,4145013639.000000000000000,广西壮族自治区教育厅,柳州市,本科,民办,柳州工学院,b9e5d0b806322bbd80a12e96,鱼峰区,109.526455499999997,24.370280139999998,46.2128983
94,2639,959,2074,贺州学院,4145011838.000000000000000,广西壮族自治区,贺州市,本科,公办,贺州学院(西校区),dffd4642c1efa0b33c9a5e3e,八步区,111.507922399999998,24.413001950000002,63.2505989
95,1455,538,1129,厦门大学,4135010384.000000000000000,教育部,厦门市,本科,公办,厦门大学(思明校区),75b7a8f855318e27e3110384,思明区,118.097144999999998,24.438821930000000,135.6959991
96,2605,947,2062,河池学院,4145010605.000000000000000,广西壮族自治区,河池市,本科,公办,河池学院,41ff27f091e580579a00505e,宜州区,108.663622300000000,24.501402460000001,38.0578003
97,1484,551,1142,闽南师范大学,4135010402.000000000000000,福建省,漳州市,本科,公办,闽南师范大学,e8a20bcf57ea7dd9d12dd615,芗城区,117.631734300000005,24.512814010000000,62.5839996
98,1464,543,1134,集美大学,4135010390.000000000000000,福建省,厦门市,本科,公办,集美大学,9336cec7511b34f4be48422b,集美区,118.089613299999996,24.584884740000000,125.0869980
99,1515,559,1150,厦门医学院,4135012631.000000000000000,福建省,厦门市,本科,公办,厦门医学院,062838c356482941a11de9e6,集美区,117.999954500000001,24.611014640000000,33.4510002
100,1539,565,1156,厦门工学院,4135013115.000000000000000,福建省教育厅,厦门市,本科,民办,厦门工学院,1eeed546c27a798fb5147f19,集美区,118.061383399999997,24.618998950000002,40.6941986
101,1487,552,1143,厦门理工学院,4135011062.000000000000000,福建省,厦门市,本科,公办,厦门理工学院(集美校区),e98737fa567aa55995ca076a,集美区,118.081784999999996,24.626683679999999,61.9872017
102,1520,561,1152,闽南理工学院,4135012710.000000000000000,福建省教育厅,泉州市,本科,民办,闽南理工学院(宝盖校区),14076dee4f9175f702294f04,石狮市,118.663566700000004,24.718181640000001,65.0717010
103,2421,880,1902,韶关学院,4144010576.000000000000000,广东省,韶关市,本科,公办,韶关学院(韶乐园校区),ea77056cf549d20b00ec0184,浈江区,113.666702400000005,24.777705829999999,149.1380005
104,2983,1090,2435,云南大学,4153010673.000000000000000,云南省,昆明市,本科,公办,云南大学(呈贡校区),de8b35ec773e918e246e9815,呈贡区,102.849197599999997,24.829999420000000,253.4380035
105,3034,1104,2449,云南艺术学院,4153010690.000000000000000,云南省,昆明市,本科,公办,云南艺术学院,b74d74bfaedd3d58ca09f0d6,呈贡区,102.825094800000002,24.835001299999998,53.1539993
106,3007,1096,2441,云南中医药大学,4153010680.000000000000000,云南省,昆明市,本科,公办,云南中医药大学,c04a4b7a21dff3ff0a69d9fb,呈贡区,102.821371600000006,24.841203239999999,51.0956001
107,3037,1105,2450,云南民族大学,4153010691.000000000000000,云南省,昆明市,本科,公办,云南民族大学(雨花校区),6112ddf9c0376eb725e0a0f1,呈贡区,102.850490800000003,24.841181570000000,106.4219971
108,2997,1094,2439,昆明医科大学,4153010678.000000000000000,云南省,昆明市,本科,公办,昆明医科大学,1f3cbc6b63e937d10f0e6b0e,呈贡区,102.825092999999995,24.848484480000000,97.9918976
109,2987,1091,2436,昆明理工大学,4153010674.000000000000000,云南省,昆明市,本科,公办,昆明理工大学(呈贡校区),1932a917039edbf63de23172,呈贡区,102.855496599999995,24.853011949999999,231.3699951
110,3009,1097,2442,云南师范大学,4153010681.000000000000000,云南省,昆明市,本科,公办,云南师范大学(呈贡校区),0f03227bf33ea80dc829151f,呈贡区,102.851897300000005,24.864298789999999,127.1100006
111,1481,550,1141,泉州师范学院,4135010399.000000000000000,福建省,泉州市,本科,公办,泉州师范学院,24f9694fd2a6ffb63fe231e7,丰泽区,118.666227500000005,24.871115039999999,75.3385010
112,3029,1103,2448,云南财经大学,4153010689.000000000000000,云南省,昆明市,本科,公办,云南财经大学(安宁校区),cac68fe3e3081bc608f5eb19,安宁市,102.560337300000000,24.882703990000000,59.6929016
113,3056,1111,2456,云南经济管理学院,4153012560.000000000000000,云南省教育厅,昆明市,本科,民办,云南经济管理学院,d7f72de2fc769716f6c59c85,安宁市,102.434144700000004,24.901568279999999,35.6297989
114,1456,539,1130,华侨大学,4135010385.000000000000000,中央统战部,泉州市,本科,公办,华侨大学(泉州校区),b5dde57862f411e140afe606,丰泽区,118.639858899999993,24.938050550000000,65.2799988
115,3049,1109,2454,昆明学院,4153011393.000000000000000,云南省,昆明市,本科,公办,昆明学院(洋浦校区),c53707a3b951a269631c6799,官渡区,102.797985199999999,24.978358940000000,104.5220032
116,1494,554,1145,龙岩学院,4135011312.000000000000000,福建省,龙岩市,本科,公办,龙岩学院,61085211b88d72a1c51b750c,新罗区,117.018279699999994,25.032512560000001,56.1130981
117,2989,1091,2436,昆明理工大学,4153010674.000000000000000,云南省,昆明市,本科,公办,昆明理工大学(新迎校区),21fe631fb5a2ea5ba9f0cdd5,盘龙区,102.730795200000003,25.054382270000001,32.2845993
118,2993,1093,2438,西南林业大学,4153010677.000000000000000,云南省,昆明市,本科,公办,西南林业大学(白龙校区),45e0ae30e6be58006cc02c53,盘龙区,102.756984900000006,25.063196619999999,71.6489029
119,2988,1091,2436,昆明理工大学,4153010674.000000000000000,云南省,昆明市,本科,公办,昆明理工大学(莲华校区),52fadfbc73546a10c6effb37,五华区,102.694877500000004,25.064836469999999,43.8050995
120,2575,939,2054,桂林理工大学,4145010596.000000000000000,广西壮族自治区,桂林市,本科,公办,桂林理工大学(雁山校区),545b946854e0cc671d1d113a,雁山区,110.294751700000006,25.066113340000001,83.4849014
121,3028,1103,2448,云南财经大学,4153010689.000000000000000,云南省,昆明市,本科,公办,云南财经大学,895936e3341c32019a00501e,五华区,102.717171600000000,25.083322639999999,37.4505997
122,2651,965,2080,桂林学院,4145013641.000000000000000,广西壮族自治区教育厅,桂林市,本科,民办,桂林学院,f2f15ffbad4b3f8b631c6740,雁山区,110.273798099999993,25.097724410000001,33.5446014
123,2594,944,2059,广西师范大学,4145010602.000000000000000,广西壮族自治区,桂林市,本科,公办,广西师范大学(雁山校区),14cd0270ddbbf7b003ec0148,雁山区,110.284158000000005,25.096647969999999,128.0690002
124,1513,558,1149,仰恩大学,4135011784.000000000000000,福建省教育厅,泉州市,本科,民办,仰恩大学,b7021bf843b4a9f9f4e73b0d,洛江区,118.604095400000006,25.112956709999999,111.7699966
125,2637,958,2073,桂林旅游学院,4145011837.000000000000000,广西壮族自治区,桂林市,本科,公办,桂林旅游学院(雁山校区),56e88cba76b39c64a5c7569c,雁山区,110.296194499999999,25.124298740000000,97.8520966
126,2991,1092,2437,云南农业大学,4153010676.000000000000000,云南省,昆明市,本科,公办,云南农业大学,369ed551758b5d0affa77874,盘龙区,102.747740600000000,25.131808140000000,83.7917023
127,3023,1101,2446,保山学院,4153010686.000000000000000,云南省,保山市,本科,公办,保山学院,4edf9fbfdd1364e9cc06a4ff,隆阳区,99.160521579999994,25.137979040000001,47.6002998
128,2592,943,2058,桂林医学院,4145010601.000000000000000,广西壮族自治区,桂林市,本科,公办,桂林医学院(临桂校区),23c39392688a133f4d776ef1,临桂区,110.157787799999994,25.226792809999999,50.1796989
129,2985,1090,2435,云南大学,4153010673.000000000000000,云南省,昆明市,本科,公办,云南大学滇池学院,e4b8a9ef48920a4feb56fa5d,嵩明县,103.001729299999994,25.233707530000000,33.1104012
130,3065,1115,2460,昆明城市学院,4153013330.000000000000000,云南省教育厅,昆明市,本科,民办,昆明城市学院(杨林校区),9386eb1c23a8cac341e1923a,嵩明县,103.008077999999998,25.237675750000001,33.7436981
131,3069,1117,2462,昆明医科大学海源学院,4153013332.000000000000000,云南省教育厅,昆明市,本科,民办,昆明医科大学海源学院,917a75bf8b5b2c8f02294fb4,嵩明县,102.991340300000005,25.244484889999999,41.9518013
132,3072,1119,2464,云南工商学院,4153013909.000000000000000,云南省教育厅,昆明市,本科,民办,云南工商学院,ecb0eb2e67929a19157643e8,嵩明县,103.003899899999993,25.243875379999999,59.2373009
133,3066,1116,2461,昆明文理学院,4153013331.000000000000000,云南省教育厅,昆明市,本科,民办,昆明文理学院(杨林校区),a1418eb4825bfe02ebe582e6,嵩明县,102.995668199999997,25.249068500000000,34.4570007
134,2595,944,2059,广西师范大学,4145010602.000000000000000,广西壮族自治区,桂林市,本科,公办,广西师范大学(育才校区),68fb9b31f02dd5888bdb73e8,七星区,110.322559999999996,25.268190300000001,37.3781013
135,2576,939,2054,桂林理工大学,4145010596.000000000000000,广西壮族自治区,桂林市,本科,公办,桂林理工大学(屏风校区),8ace5bd3f19af471cae33c51,七星区,110.311983799999993,25.283789800000001,32.1343002
136,2636,957,2072,桂林航天工业学院,4145011825.000000000000000,广西壮族自治区,桂林市,本科,公办,桂林航天工业学院,e91f7a5ce1b5f579c27da2e8,七星区,110.366618599999995,25.285256879999999,68.3522034
137,2571,938,2053,桂林电子科技大学,4145010595.000000000000000,广西壮族自治区,桂林市,本科,公办,桂林电子科技大学(金鸡岭校区),c1c5577b076099ead6b74e4f,七星区,110.333336299999999,25.286986880000001,30.5660000
